"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-05-05;"Feminino";"50-54";1;43
2020-05-05;"Feminino";"70-74";1;14
2020-05-05;"Masculino";"20-24";1;19
2020-05-05;"Masculino";"25-29";1;45
2020-05-05;"Masculino";"40-44";1;61
2020-05-05;"Masculino";"75-79";1;8
2020-05-06;"Feminino";"25-29";1;42
2020-05-06;"Feminino";"30-34";4;74
2020-05-06;"Feminino";"35-39";6;86
2020-05-06;"Feminino";"40-44";2;57
2020-05-06;"Feminino";"45-49";5;45
2020-05-06;"Feminino";"50-54";5;48
2020-05-06;"Feminino";"55-59";4;48
2020-05-06;"Feminino";"60-64";5;33
2020-05-06;"Feminino";"65-69";1;17
2020-05-06;"Feminino";"70-74";5;19
2020-05-06;"Feminino";"75-79";1;14
2020-05-06;"Feminino";"80-84";1;10
2020-05-06;"Feminino";"90-94";1;7
2020-05-06;"Masculino";"0-4";1;15
2020-05-06;"Masculino";"20-24";1;20
2020-05-06;"Masculino";"25-29";2;47
2020-05-06;"Masculino";"30-34";6;57
2020-05-06;"Masculino";"35-39";4;90
2020-05-06;"Masculino";"40-44";3;64
2020-05-06;"Masculino";"45-49";6;62
2020-05-06;"Masculino";"50-54";4;45
2020-05-06;"Masculino";"55-59";5;42
2020-05-06;"Masculino";"60-64";7;42
2020-05-06;"Masculino";"65-69";4;30
2020-05-06;"Masculino";"70-74";2;16
2020-05-06;"Masculino";"75-79";2;10
2020-05-06;"Masculino";"80-84";1;9
2020-05-06;"Masculino";"85-89";2;9
2020-05-06;"Masculino";"90-94";1;2
2020-05-07;"Feminino";"0-4";1;6
2020-05-07;"Feminino";"15-19";1;5
2020-05-07;"Feminino";"20-24";2;25
2020-05-07;"Feminino";"30-34";1;75
2020-05-07;"Feminino";"35-39";5;91
2020-05-07;"Feminino";"40-44";8;65
2020-05-07;"Feminino";"45-49";4;49
2020-05-07;"Feminino";"55-59";2;50
2020-05-07;"Feminino";"60-64";1;34
2020-05-07;"Feminino";"65-69";1;18
2020-05-07;"Feminino";"70-74";1;20
2020-05-07;"Feminino";"75-79";1;15
2020-05-07;"Masculino";"20-24";1;21
2020-05-07;"Masculino";"25-29";4;51
2020-05-07;"Masculino";"30-34";3;60
2020-05-07;"Masculino";"35-39";3;93
2020-05-07;"Masculino";"40-44";4;68
2020-05-07;"Masculino";"45-49";3;65
2020-05-07;"Masculino";"50-54";3;48
2020-05-07;"Masculino";"55-59";1;43
2020-05-07;"Masculino";"60-64";2;44
2020-05-07;"Masculino";"65-69";1;31
2020-05-07;"Masculino";"70-74";2;18
2020-05-07;"Masculino";"85-89";1;10
2020-05-07;"Masculino";"95-99";1;2
2020-05-08;"Feminino";"0-4";1;7
2020-05-08;"Feminino";"20-24";1;26
2020-05-08;"Feminino";"25-29";2;44
2020-05-08;"Feminino";"30-34";5;80
2020-05-08;"Feminino";"35-39";5;96
2020-05-08;"Feminino";"40-44";3;68
2020-05-08;"Feminino";"45-49";2;51
2020-05-08;"Feminino";"50-54";1;49
2020-05-08;"Feminino";"55-59";4;54
2020-05-08;"Feminino";"65-69";1;19
2020-05-08;"Feminino";"70-74";1;21
2020-05-08;"Feminino";"75-79";1;16
2020-05-08;"Feminino";"80-84";2;12
2020-05-08;"Feminino";"85-89";1;7
2020-05-08;"Masculino";"15-19";1;5
2020-05-08;"Masculino";"20-24";3;24
2020-05-08;"Masculino";"30-34";3;63
2020-05-08;"Masculino";"35-39";4;97
2020-05-08;"Masculino";"45-49";2;67
2020-05-08;"Masculino";"50-54";2;50
2020-05-08;"Masculino";"60-64";2;46
2020-05-08;"Masculino";"70-74";1;19
2020-05-08;"Masculino";"85-89";1;11
2020-05-11;"Feminino";"35-39";1;97
2020-05-11;"Feminino";"40-44";1;69
2020-05-11;"Masculino";"30-34";2;65
2020-05-12;"Feminino";"20-24";1;27
2020-05-12;"Feminino";"35-39";1;98
2020-05-12;"Feminino";"50-54";1;50
2020-05-12;"Feminino";"60-64";2;36
2020-05-12;"Masculino";"20-24";1;25
2020-05-12;"Masculino";"30-34";1;66
2020-05-12;"Masculino";"35-39";1;98
